Make,Model,Trim,Size
Mercedes-Benz,Smart for two,,R
Mercedes-Benz,C 300,,R
Mercury,Capri,,R
Mercury,Comet,,R
Mercury,Cougar,,R
Mercury,Grand Marquis,,R
Mercury,Lynx,,R
Mercury,Marauder,,R
Mercury,Mariner Hybrid,,XL
Mercury,Marquis,,R
Mercury,Milan,,R
Mercury,Monteret,,XL
Mercury,Mountaineer,,XL
Mercury,Mystique,,R
Mercury,Sable,,R
Mercury,Topaz,,R
Mercury,Tracer,,R
Mercury,Villager,,XL
Mini,Clubman,,R
Mini,Cooper,,R
Mini,Cooper Convertible,,R
Mini,CountryMan,,XL
Mitsubishi,3000GT,,R
Mitsubishi,Box Truck,,XXL
Mitsubishi,Cordia,,R
Mitsubishi,Diamante,,R
Mitsubishi,Eclipse,,R
Mitsubishi,Endeavor,,XL
Mitsubishi,Evo,,R
Mitsubishi,Expo,,R
Mitsubishi,Galant,,R
Mitsubishi,Galant Sigma,,R
Mitsubishi,Lancer,,R
Mitsubishi,Minivan,,XL
Mitsubishi,Mirage,,R
Mitsubishi,Montero,,XL
Mitsubishi,Montero Sport,,XL
Mitsubishi,Outlander,,XL
Mitsubishi,Pickup,,XL
Mitsubishi,Precis,,R
Mitsubishi,Raider,,XL
Mitsubishi,Sigma,,R
Mitsubishi,Spyder,,R
Mitsubishi,Starion,,R
Mitsubishi,Tredia,,R
Oldsmobile,88,,R
Oldsmobile,98,,R
Oldsmobile,Achieva,,R
Oldsmobile,Alero,,R
Oldsmobile,Aurora,,R
Oldsmobile,Bravada,,XL
Oldsmobile,Calais,,R
Oldsmobile,Ciera,,R
Oldsmobile,Custom Cruiser,,R
Oldsmobile,Cutlass,,R
Oldsmobile,Cutlass Cruiser,,R
Oldsmobile,Cutlass Supreme,,R
Oldsmobile,Delta 88,,R
Oldsmobile,Firenza,,R
Oldsmobile,Intrigue,,R
Oldsmobile,LSS,,R
Oldsmobile,Omega,,R
Oldsmobile,Regency,,R
Oldsmobile,Silhouette,,XL
Oldsmobile,Toronado,,R
Peugeot,405,,R
Peugeot,505,,R
Peugeot,604,,R
Peugeot,Liberte,,R
Plymouth,Acclaim,,R
Plymouth,Breeze,,R
Plymouth,Caravelle,,R
Plymouth,Colt,,R
Plymouth,Colt Vista,,R
Plymouth,Conquest,,R
Plymouth,Gran Fury,,R
Plymouth,Grand Voyager,,XL
Plymouth,Horizon,,R
Plymouth,Laser,,R
Plymouth,Neon,,R
Plymouth,Prowler,,R
Plymouth,Reliant,,R
Plymouth,Sundance,,R
Plymouth,Turismo,,R
Plymouth,Valiant,,R
Plymouth,Van,,XL
Plymouth,Voyager,,XL
Pontiac,1000,,R
Pontiac,Sunbird,,R
Pontiac,6000,,R
Pontiac,Aztek,,XL
Pontiac,Bonneville,,R
Pontiac,Fiero,,R
Pontiac,Firebird,,R
Pontiac,G-6,,R
